Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2020-11-03,839.0291748046875,865.600239943717,832.0917105106013,856.9850494031045,88691623
2020-11-04,867.504638671875,874.6689020903103,832.953205081128,832.953205081128,80180117
2020-11-05,886.4581298828125,889.1560327894556,876.0292050636682,886.4354619573483,37205373
2020-11-06,920.080078125,924.9997976298749,896.9550756882459,902.3282736472202,66674086
2020-11-09,929.8513793945312,938.1491583754546,923.1859307154127,935.0205053076455,35838510
2020-11-10,945.2001342773438,947.6713579150476,925.5439246746041,941.7767378395364,36934242
2020-11-11,905.5928344726562,949.9384288213167,896.9323084725518,947.217858238175,56724780
2020-11-12,897.7938232421875,910.6939707303043,890.9923666961812,898.2473016530297,40046527
2020-11-13,905.2301635742188,923.4807818666762,898.5874420075651,898.7007816340105,45388670
2020-11-14,907.9054565429688,913.8000769836483,904.7541349819926,913.6187335697492,5226220
2020-11-17,903.8018188476562,945.4041769988106,900.0610116001939,945.4041769988106,46542562
2020-11-18,901.05859375,909.8098520291383,888.7705994600573,903.8018324500739,30402290
2020-11-19,894.6879272460938,911.6008986042735,892.4434427638029,901.0586339089177,27796343
2020-11-20,861.292724609375,899.5169641211087,859.2522514859126,895.5267495451352,57471248
2020-11-23,884.5083618164062,893.2595600473776,873.4219475565428,884.644369365096,45327567
2020-11-24,890.5617065429688,895.0733434410346,876.0292271989675,890.5390386169317,30936268
2020-11-25,883.193359375,903.6657931642695,880.654192057057,897.7938413094128,32637879
2020-11-26,885.369873046875,890.9924179780169,875.1450197156285,885.5739443403047,25838637
2020-11-27,875.0316162109375,886.956863707273,871.2228051404243,879.8833317328676,47336811
2020-12-01,886.4127197265625,891.5591779283297,875.1449626736697,879.8152745444881,19750687
2020-12-02,887.8864135742188,889.6321436054803,877.3894853981996,888.0450890461269,22188887
2020-12-03,890.5617065429688,898.2927286508155,888.1131507545629,894.1665064634373,27785372
2020-12-04,882.7173461914062,892.806192431299,879.6566964271353,892.806192431299,18464552
2020-12-07,887.9090576171875,890.9923750186222,879.9286890581647,879.9286890581647,18242188
2020-12-08,904.0285034179688,913.323851163145,884.1908922431836,889.2466786868488,43403061
2020-12-09,919.08251953125,922.1885651259229,906.5225094998519,911.3742252800819,29175254
2020-12-10,910.0365600585938,919.7853272816659,907.3159891974719,916.6566737897788,16065507
2020-12-11,909.4924926757812,924.0929759507371,895.1866924423914,912.7571538037538,26944202
2020-12-14,902.9176025390625,913.6639373326992,900.6731183081919,910.467220412345,17312747
2020-12-15,895.2320556640625,902.1921882018914,889.2240359631435,902.1921882018914,18551265
